# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
3310 0.167272 0.233264 -0.17474 0.225795
3315 0.224569 0.269225 -0.213185 0.280608
3320 0.277032 0.30187 -0.240138 0.338764
3325 0.321346 0.329092 -0.252023 0.398415
3330 0.354509 0.348851 -0.246133 0.457227
3335 0.374456 0.359059 -0.221459 0.512056
3340 0.380022 0.358396 -0.178983 0.559436
3345 0.370707 0.346501 -0.121386 0.595822
3350 0.346909 0.324158 -0.0527771 0.618289
3355 0.310159 0.293265 0.0222501 0.625674
3360 0.26316 0.256405 0.0992433 0.618809
3365 0.209398 0.216065 0.17399 0.599453
3370 0.152405 0.173961 0.242356 0.568723
3375 0.0950649 0.130696 0.300485 0.526246
3380 0.0392051 0.0864203 0.344956 0.470582
3385 -0.0138239 0.0411532 0.373208 0.400537
3390 -0.0631036 -0.00479291 0.383881 0.315985
3395 -0.108391 -0.0504467 0.376845 0.218007
3400 -0.150292 -0.0944256 0.353077 0.108359
3405 -0.190025 -0.135558 0.314569 -0.011014
3410 -0.228493 -0.17312 0.263708 -0.137905
3415 -0.266106 -0.207014 0.202918 -0.270202
3420 -0.302315 -0.237509 0.135623 -0.404202
3425 -0.335726 -0.264965 0.0662608 -0.53443
3430 -0.364671 -0.289754 -0.00058899 -0.655014
3435 -0.387071 -0.311924 -0.0606531 -0.759648
3440 -0.400998 -0.330771 -0.110218 -0.841988
3445 -0.404884 -0.344788 -0.146485 -0.896156
3450 -0.397649 -0.352262 -0.168224 -0.918135
3455 -0.378764 -0.351741 -0.175996 -0.906501
3460 -0.348541 -0.34241 -0.171979 -0.86293
3465 -0.308287 -0.324032 -0.15934 -0.791659
3470 -0.260358 -0.297123 -0.141573 -0.699054
3475 -0.208004 -0.262652 -0.121914 -0.59257
3480 -0.154297 -0.222043 -0.103053 -0.479394
3485 -0.101083 -0.177325 -0.0867332 -0.365141
3490 -0.0492896 -0.131166 -0.0740085 -0.254465
3495 0.00078092 -0.0861646 -0.0653972 -0.150781
3500 0.0488932 -0.0444076 -0.060985 -0.0564994
3505 0.0948364 -0.0071138 -0.0606425 0.0270801
3510 0.138455 0.0256004 -0.0634373 0.100618
3515 0.179399 0.0545281 -0.0679732 0.165954
3520 0.217221 0.0805004 -0.0733533 0.224368
3525 0.251063 0.103807 -0.0791606 0.275709
3530 0.279377 0.124651 -0.0852009 0.318827
3535 0.300366 0.143374 -0.0913279 0.352412
3540 0.312542 0.160228 -0.0975398 0.375231
3545 0.314973 0.174829 -0.103654 0.386148
3550 0.307386 0.186148 -0.10914 0.384395
3555 0.29043 0.192947 -0.113435 0.369941
3560 0.265813 0.194434 -0.115886 0.344361
3565 0.23596 0.190239 -0.115456 0.310743
3570 0.203411 0.180522 -0.111084 0.272848
3575 0.170754 0.166128 -0.101654 0.235228
3580 0.140065 0.148447 -0.0860353 0.202477
3585 0.113032 0.129645 -0.0635953 0.179082
3590 0.0910581 0.112097 -0.0345028 0.168652
3595 0.0749316 0.0974493 0.000375177 0.172756
3600 0.0648627 0.0866584 0.0397928 0.191314
3605 0.06052 0.0798398 0.0821457 0.222506
3610 0.0607501 0.0767674 0.126375 0.263893
3615 0.0637302 0.0770738 0.171877 0.312681
3620 0.0672784 0.0804462 0.217881 0.365606
3625 0.0690609 0.0862083 0.263359 0.418628
3630 0.0667208 0.0928512 0.306556 0.466128
3635 0.0586236 0.0982622 0.344722 0.501608
3640 0.0444118 0.100177 0.37504 0.519628
3645 0.0246116 0.0969902 0.395563 0.517165
3650 0.000786457 0.0877851 0.404756 0.493327
3655 -0.0248386 0.0722102 0.401115 0.448487
3660 -0.0500067 0.0509026 0.383883 0.384779
3665 -0.0732033 0.0252957 0.352849 0.304942
3670 -0.0938373 -0.00330698 0.308278 0.211134
3675 -0.112289 -0.0341277 0.251375 0.104958
3680 -0.129645 -0.0667928 0.184752 -0.0116852
3685 -0.147058 -0.100765 0.111876 -0.135947
3690 -0.165002 -0.13465 0.0364434 -0.263209
3695 -0.183026 -0.166248 -0.0375978 -0.386871
3700 -0.199916 -0.193197 -0.106574 -0.499688
3705 -0.214095 -0.213609 -0.167329 -0.595034
3710 -0.22427 -0.226215 -0.2178 -0.668286
3715 -0.229898 -0.23051 -0.257961 -0.718369
3720 -0.230518 -0.226633 -0.288865 -0.746015
3725 -0.225582 -0.215473 -0.311788 -0.752844
3730 -0.214315 -0.198716 -0.327511 -0.740542
3735 -0.195623 -0.178343 -0.335656 -0.709623
3740 -0.168673 -0.155973 -0.334398 -0.659044
3745 -0.133012 -0.133102 -0.321319 -0.587433
3750 -0.0891433 -0.11048 -0.294836 -0.494459
3755 -0.0380967 -0.0876373 -0.2552 -0.380934
3760 0.0185334 -0.0628452 -0.204322 -0.248634
3765 0.0786649 -0.0344207 -0.145668 -0.101423
3770 0.139524 -0.00142702 -0.0836582 0.0544386
3775 0.197861 0.0354913 -0.0229988 0.210353
3780 0.25058 0.0742425 0.0319224 0.356745
3785 0.29494 0.111578 0.0774911 0.484009
3790 0.328161 0.143509 0.111043 0.582713
3795 0.347981 0.166265 0.130823 0.645069
3800 0.352943 0.176646 0.135784 0.665373
3805 0.342502 0.172648 0.125711 0.640861
3810 0.316413 0.154437 0.102034 0.572884
3815 0.27442 0.124405 0.0681365 0.466962
3820 0.21699 0.0868038 0.0284488 0.332242
3825 0.145603 0.0470912 -0.0123597 0.180335
3830 0.0627315 0.0104154 -0.0502166 0.0229303
3835 -0.0279239 -0.019979 -0.0821941 -0.130097
3840 -0.121558 -0.043076 -0.106564 -0.271197
